PLAYER,POS,BODY FAT %,HAND LENGTH (INCHES),HAND WIDTH (INCHES),HEIGHT W/O SHOES,HEIGHT W/ SHOES,STANDING REACH,WEIGHT (LBS),WINGSPAN
Doug Wrenn,SF-PF,7.30%,-,-,6' 5.75'',,8' 4.5'',220,7' 7.5''
Luol Deng,SF,6.70%,-,-,6' 7'',6' 8'',9' 0.5'',220,7' 0.5''
Marcus Slaughter,PF-SF,8.50%,-,-,6' 7'',6' 8'',8' 8.5'',220,6' 11.5''
Dominic McGuire,SF,4.70%,-,-,6' 7'',6' 8.25'',8' 8'',220,6' 10.5''
James Gist,PF,4.80%,-,-,6' 7'',6' 8.5'',8' 11.5'',220,7' 4''
Othello Hunter,PF-SF,6.40%,-,-,6' 6.5'',6' 7.5'',9' 1.5'',220,7' 3''
Joe Alexander,SF-PF,5.80%,-,-,6' 7.25'',6' 8.25'',8' 10'',220,6' 11.5''
Jordan Nwora,PF,7.80%,8.5,9.25,6' 5.75'',6' 7.5'',8' 7'',220,6' 10.5''
Aaron Gordon,PF,5.05%,8.75,10.5,6' 7.5'',6' 8.75'',8' 9'',220.1,6' 11.75''
T.J. Warren,SF,7.95%,8.75,9,6' 7'',6' 8.25'',8' 8'',220.2,6' 10.25''
Taurean Prince,SF,6.45%,9,8.5,6' 6.5'',6' 7.75'',8' 6'',220.2,6' 11.5''
Dillon Brooks,SG-SF,7.50%,8.25,9.25,6' 5'',6' 6'',8' 4.5'',220.2,6' 6''
Miles Bridges,SF,5.90%,9,9.75,6' 5.25'',6' 6.75'',8' 7.5'',220.4,6' 9.5''
Gary Forbes,SG,6.50%,-,-,6' 4.5'',6' 5.75'',8' 8.5'',220.5,6' 11.25''
Nemanja Aleksandrov,PF-SF,-%,-,-,6' 10'',7' 0'',9' 2'',220.6,6' 11''
Tyreke Evans,PG-SG,7.10%,-,-,6' 4'',6' 5.25'',8' 8'',220.6,6' 11.25''
James Southerland,SF-PF,8.05%,8,9.5,6' 7'',6' 8'',8' 10'',220.6,7' 1''
Ignas Brazdeikis,SF,6.00%,8.75,9.5,6' 5.75'',6' 7.25'',8' 6'',220.8,6' 9.25''
Josh Smith,SG-SF,6.70%,-,-,6' 7'',6' 8.25'',8' 10.5'',221,7' 0''
Lou Amundson,PF,6.80%,-,-,6' 7.2'',6' 8'',8' 7.5'',221,6' 11.5''
Al Thornton,SF,5.80%,-,-,6' 5.75'',6' 7'',8' 8'',221,7' 1''
Russell Carter,SG,6.00%,-,-,6' 3'',6' 4.5'',8' 1.5'',221,6' 8.5''
Luc Mbah a Moute,SF,7.00%,-,-,6' 5.75'',6' 7.5'',8' 7.5'',221,7' 2.5''
Donte Greene,SF-PF,7.60%,-,-,6' 8.25'',6' 9'',9' 0'',221,6' 10''
Marcelus Kemp,SG,9.00%,-,-,6' 3'',6' 4.25'',8' 7.5'',221,6' 8.5''
Dion Waiters,SG,8.50%,8.5,9.5,6' 2.5'',6' 4'',8' 2'',221,6' 7.25''
Chandler Parsons,SF,7.00%,8.25,10,6' 8.75'',6' 9.75'',8' 8.5'',221.2,6' 9.5''
Dwayne Bacon,SG-SF,7.90%,8.75,10,6' 4.75'',6' 6.25'',8' 7.5'',221.6,6' 10''
Carlos Powell,SF-PF,-%,-,-,6' 5.25'',6' 6.75'',8' 9'',221.8,6' 10.75''
Iman Shumpert,PG-SG,6.50%,9,9,6' 4.25'',6' 5.5'',8' 3.5'',221.8,6' 9.5''
Anthony Davis,PF-C,7.90%,9,8.5,6' 9.25'',6' 10.5'',9' 0'',221.8,7' 5.5''
Jeff Withey,C,8.65%,9,9.75,6' 10.75'',7' 0.5'',9' 2.5'',221.8,7' 2''
Shabazz Muhammad,SF-SG,9.00%,9,10,6' 4.75'',6' 6.25'',8' 8.5'',221.8,6' 11''
Justise Winslow,SF,5.30%,8.5,9.25,6' 4.5'',6' 6.5'',8' 8.5'',221.8,6' 10.25''
Damien Wilkins,SG-SF,7.30%,-,-,6' 4.5'',6' 6'',8' 10'',222,7' 0''
Rudy Gay,SF-PF,5.70%,-,-,6' 7'',6' 8'',8' 11.5'',222,7' 3''
Reyshawn Terry,SF,8.90%,-,-,6' 6.75'',6' 7.5'',8' 7.5'',222,6' 10''
Eric Gordon,SG,8.20%,-,-,6' 2'',6' 3.25'',8' 3'',222,6' 9''
Maarty Leunen,SF,8.90%,-,-,6' 7.25'',6' 8.5'',8' 6.5'',222,6' 8''
James Harden,SG,10.10%,-,-,6' 4'',6' 5.25'',8' 7.5'',222,6' 10.75''
Jimmy Butler,SF,5.40%,9,9,6' 6'',6' 7.75'',8' 5.5'',222.2,6' 7.5''
TJ Leaf,PF,6.80%,8.5,9.5,6' 8.75'',6' 9.75'',8' 11'',222.2,6' 11''
Luguentz Dort,PG,5.00%,8.5,9,6' 2.75'',6' 4.25'',8' 3.5'',222.2,6' 8.5''
Larry Sanders,PF-C,4.60%,9.75,11,6' 9.25'',6' 10.5'',9' 4'',222.4,7' 5.75''
Kevon Looney,PF,11.90%,9.5,9.25,6' 8'',6' 9.25'',9' 2'',222.4,7' 3.5''
Isaiah Briscoe,PG,11.00%,9,9.25,6' 1.25'',6' 2.75'',8' 3.5'',222.4,6' 9''
Billy Preston,PF,5.45%,9.25,9.5,6' 8.75'',6' 10.5'',9' 0'',222.4,7' 2''
Kyle Kuzma,SF-SG,9.40%,8.5,9.5,6' 8'',6' 9.5'',8' 11.5'',222.6,7' 0.25''
Rawle Alkins,SG-SF,11.00%,8.75,10,6' 2.5'',6' 3.75'',8' 3'',222.6,6' 8.75''
Sam Young,SF-SG,4.90%,-,-,6' 5.25'',6' 6.75'',8' 9.5'',222.8,6' 10.75''
Tobias Harris,SF-PF,8.40%,8.75,9,6' 6.5'',6' 7.75'',8' 7.5'',222.8,6' 11''
Jaylen Brown,SG-SF,5.05%,8.75,9,6' 5.25'',6' 6.75'',8' 6.5'',222.8,6' 11.75''
Marcus Douthit,C-PF,13.70%,-,-,6' 9.5'',6' 11'',9' 3.5'',223,7' 4''
Erik Daniels,SF-PF,18.50%,-,-,6' 6.25'',6' 7.5'',8' 10'',223,6' 11''
Misan Nikagbatse,SG-PG,12.90%,-,-,6' 3.5'',6' 4.75'',8' 6'',223,6' 10''
Cedric Simmons,PF-C,5.60%,-,-,6' 8.25'',6' 9.5'',9' 0.5'',223,7' 4.25''
Ronnie Brewer,SG-PG,5.00%,-,-,6' 5.75'',6' 6.75'',8' 7.5'',223,6' 11.25''
David Noel,SF-SG,6.10%,-,-,6' 4.5'',6' 6'',8' 4'',223,6' 9.5''
Joakim Noah,PF,4.80%,-,-,6' 10'',7' 0'',8' 10.5'',223,7' 1.25''
Malcolm Thomas,PF,5.90%,9.5,10.5,6' 7.5'',6' 8.75'',8' 11.5'',223,7' 0.5''
Malcolm Brogdon,SG,5.40%,9,10.25,6' 3.75'',6' 5.5'',8' 2'',223,6' 10.5''
PJ Washington,PF,6.85%,9,10.25,6' 6.5'',6' 8'',8' 11'',223,7' 2.5''
Alan Anderson,SG-SF,-%,-,-,6' 4.5'',6' 6'',8' 8'',223.2,6' 9.5''
Jon Leuer,PF,5.40%,8.75,9.75,6' 10'',6' 11.5'',8' 9.5'',223.2,7' 0''
Jordan Bell,PF,5.40%,9.25,9.5,6' 7'',6' 8.5'',8' 8.5'',223.6,6' 11.75''
Quincy Acy,PF,7.10%,9.5,11,6' 6.5'',6' 7.75'',8' 10.5'',223.8,7' 2.75''
Orlando Johnson,SG,7.00%,9,9.5,6' 3.75'',6' 5.25'',8' 3'',223.8,6' 11.25''
Keita Bates-Diop,SG-SF,5.35%,9,8.5,6' 7.25'',6' 8.5'',8' 10.5'',223.8,7' 3.25''
Joe Shipp,SG,11.70%,-,-,6' 4'',,8' 7'',224,6' 10''
Solomon Jones,PF-C,7.40%,-,-,6' 8.5'',6' 9.75'',9' 1'',224,7' 4.75''
Mardy Collins,PG-SG,10.00%,-,-,6' 4.25'',6' 5.5'',8' 7'',224,6' 10''
Rashad Anderson,SG,17.30%,-,-,6' 3.25'',6' 4.5'',8' 4'',224,6' 7''
Joah Tucker,SF-SG,7.00%,-,-,6' 3.75'',6' 5.25'',8' 3.5'',224,6' 6.5''
Patrick Ewing Jr.,SF-PF,9.40%,-,-,6' 6'',6' 7.25'',8' 1.5'',224,7' 0.25''
Nassir Little,SF,5.90%,8.75,10,6' 4.5'',6' 6'',8' 8.5'',224.2,7' 1.25''
Joel Bolomboy,PF,5.15%,9,10.25,6' 7.5'',6' 9'',8' 7.5'',224.4,7' 1.75''
Derrick Brown,SF-PF,8.60%,-,-,6' 7.5'',6' 8.5'',8' 11.5'',224.6,7' 2.5''
Kenneth Faried,PF,6.30%,8.5,10.25,6' 6'',6' 7.5'',9' 0'',224.6,7' 0''
Chris Bosh,PF,8.00%,-,-,6' 10.25'',,9' 1'',225,7' 3.5''
Marcin Gortat,PF-C,-%,-,-,6' 11'',7' 0'',9' 2'',225.2,7' 3.5''
John Collins,PF,5.40%,9,10,6' 8.25'',6' 9.5'',8' 10.5'',225.2,6' 11.25''
Danny Granger,,-%,-,-,6' 7.5'',6' 8.5'',8' 7'',225.4,7' 1.5''
Quan Prowell,SF-PF,6.50%,-,-,6' 6.75'',6' 7.75'',8' 7.5'',225.5,6' 10.5''
Mohamed Bamba,C,6.20%,9.75,10.25,6' 11.25'',7' 0.75'',9' 7.5'',225.6,7' 10''
Lazar Hayward,SG-SF,7.50%,9.25,9.5,6' 4.5'',6' 5.75'',8' 6'',225.8,7' 0.75''
Neemias Queta,C,6.30%,9.5,11,6' 10.75'',7' 0.25'',9' 3.5'',225.8,7' 4.25''
David West,PF-SF,8.00%,-,-,6' 8.25'',,9' 0.25'',226,7' 4.25''
Jackson Vroman,PF-C,6.70%,-,-,6' 9.25'',6' 10.75'',8' 9.5'',226,7' 0''
Ivan Radenovic,PF,9.80%,-,-,6' 9'',6' 10.75'',8' 10'',226,6' 11.75''
Jiri Hubalek,C-PF,8.80%,-,-,6' 9.5'',6' 11'',9' 1'',226,6' 10.75''
Solomon Hill,SF,7.60%,9,10.5,6' 5.5'',6' 7'',8' 7'',226,6' 9''
Lamar Patterson,SG,10.75%,9,9.25,6' 4'',6' 5.25'',8' 5'',226,6' 11''
Hassan Whiteside,C-PF,5.50%,8.25,10.25,6' 10.5'',6' 11.5'',9' 5'',226.6,7' 7''
Damion James,SF,9.60%,9.25,8.5,6' 6.25'',6' 7.75'',8' 11'',226.6,7' 0.75''
Ed Davis,PF,10.00%,9.25,10,6' 9'',6' 9.75'',9' 0'',226.6,7' 0''
Larry Nance,PF,6.40%,9,9.75,6' 7.5'',6' 8.5'',9' 0'',226.6,7' 1.5''
Pascal Siakam,PF,5.20%,9.25,10,6' 8.25'',6' 9.5'',8' 11.5'',226.6,7' 3.25''
Josh Powell,PF-SF,8.00%,-,-,6' 8'',,8' 11.5'',227,7' 1''
J.R. Smith,SG-SF,6.70%,-,-,6' 5.5'',6' 6.75'',8' 8'',227,6' 10''
Shawne Williams,SF-PF,8.00%,-,-,6' 7.25'',6' 8.75'',8' 8'',227,7' 3''
James Augustine,PF,5.50%,-,-,6' 8.25'',6' 9.75'',8' 8'',227,7' 0.25''
Curtis Withers,PF-SF,5.00%,-,-,6' 6'',6' 6.5'',8' 5'',227,6' 10''
Curtis Sumpter,SF,5.30%,-,-,6' 6'',6' 7.75'',8' 8'',227,6' 9.5''
James Mays,PF,8.80%,-,-,6' 6.75'',6' 7.75'',8' 9'',227,7' 1.75''
Lance Stephenson,SG,9.30%,9,10.25,6' 4.5'',6' 5.75'',8' 7'',227,6' 10.5''
Marcus Smart,PG,10.55%,9,8.75,6' 2'',6' 3.25'',8' 3'',227.2,6' 9.25''
Simisola Shittu,PF,6.20%,8.75,8.5,6' 8.5'',6' 9.5'',8' 10'',227.2,7' 1.25''
Luka Samanic,PF,5.60%,8.5,9,6' 9.5'',6' 11'',8' 11'',227.2,6' 10.5''
Dante Cunningham,PF,4.80%,-,-,6' 7'',6' 8.25'',8' 10.5'',227.4,6' 11''
Kawhi Leonard,SF,5.40%,9.75,11.25,6' 6'',6' 7'',8' 10'',227.4,7' 3''
Tristan Thompson,PF,6.20%,8.75,9.25,6' 7.5'',6' 8.75'',9' 0.5'',227.4,7' 1.25''
James McAdoo,PF,6.15%,9.25,9,6' 7.5'',6' 8.75'',8' 10.5'',227.6,7' 2.25''
Martynas Andriuskevicius,C-PF,-%,-,-,7' 1.25'',7' 3'',9' 4.5'',227.8,6' 11.25''
Harrison Barnes,SF-SG,9.60%,9,8.5,6' 7'',6' 8'',8' 5.5'',227.8,6' 11.25''
Ugonna Okyekwe,SF,4.30%,-,-,6' 7.25'',,9' 1'',228,7' 3''
Kirk Snyder,SG-SF,9.30%,-,-,6' 6'',6' 6.75'',8' 8'',228,6' 9''
Jeff Green,SF,3.70%,-,-,6' 7'',6' 9.5'',8' 7'',228,7' 1.25''
Justin Harper,PF-SF,4.00%,9,9.25,6' 8'',6' 8.75'',8' 10'',228,6' 11.75''
Kyle Singler,SF,10.00%,8.25,8.75,6' 7.5'',6' 8.5'',8' 10'',228,6' 10.1''
Ryan Kelly,PF,14.75%,9,10,6' 9.75'',6' 11.75'',9' 2'',228,6' 11.5''
Brandon Ashley,PF,8.80%,9,9.5,6' 7.25'',6' 8.5'',8' 9'',228,7' 3.75''
Marvin Williams,PF-SF,-%,-,-,6' 7'',6' 8.25'',9' 0'',228.2,7' 3.5''
Earl Clark,SF-PF,5.20%,-,-,6' 8.5'',6' 10.25'',9' 1.5'',228.4,7' 2.5''
Jordan Hamilton,SF,9.80%,9,9.25,6' 6.75'',6' 8.5'',8' 8'',228.4,6' 9.5''
Ivan McFarlin,PF,-%,-,-,6' 5.5'',6' 6.75'',8' 9.5'',228.6,6' 9''
P.J. Hairston,SG,8.20%,8.75,9.75,6' 4.25'',6' 5.25'',8' 5'',228.8,6' 9''
Donald Little,PF-C,7.30%,-,-,6' 9.5'',,8' 1'',229,7' 3''
Sani Ibrahim,C-PF,9.30%,-,-,6' 8.5'',,9' 1.5'',229,7' 1''
Rich Melzer,PF-SF,12.40%,-,-,6' 7.5'',6' 8.75'',8' 11'',229,7' 2''
Rolando Howell,PF,11.70%,-,-,6' 7.5'',6' 8.5'',8' 11'',229,7' 0.5''
Craig Brackins,PF-SF,7.90%,9.5,11.25,6' 8.5'',6' 9.75'',9' 1'',229,7' 0''
Justin Patton,C,7.80%,8.75,9.75,6' 10'',6' 11.25'',9' 3.5'',229,7' 3''
Ben Bentil,PF,9.70%,9.5,10,6' 7.25'',6' 8.25'',8' 9'',229.2,7' 1.5''
Justin Jackson,PF,8.90%,9,9.5,6' 6'',6' 6.75'',8' 9'',229.4,7' 3''
David Lee,PF,-%,-,-,6' 7.75'',6' 9'',8' 10.5'',229.5,7' 0''
Martell Webster,SF,-%,-,-,6' 6'',6' 7.5'',8' 10'',229.6,6' 11''
Brian Butch,C-PF,10.80%,-,-,6' 9.5'',6' 11'',9' 0'',229.6,6' 11.25''
Marcus Morris,PF-SF,8.00%,8.25,8.5,6' 7'',6' 8.75'',8' 9.5'',229.6,6' 10''
Gorgui Dieng,C,5.35%,9,10,6' 9.75'',6' 10.75'',9' 3.5'',229.6,7' 3.5''
Bernard James,PF,5.00%,9,9.25,6' 8.75'',6' 10'',9' 0.5'',229.8,7' 3''
Brian Boddicker,SF-PF,11.20%,-,-,6' 7.5'',6' 8.75'',8' 9.5'',230,6' 10''
Jermareo Davidson,PF,6.90%,-,-,6' 9'',6' 11'',9' 1.5'',230,7' 4''
Josh Duncan,PF,5.40%,-,-,6' 8'',6' 9'',8' 8.5'',230,6' 11.5''
Cody Zeller,C-PF,4.75%,8.5,10.5,6' 10.75'',7' 0.25'',8' 10'',230,6' 10.75''
Kyle Anderson,SF,13.35%,8.25,8.75,6' 7.5'',6' 8.5'',8' 11.5'',230.1,7' 2.75''
Ryan Richards,PF,8.00%,9,9.75,6' 10.5'',6' 11.75'',9' 2'',230.2,7' 1.5''
Chris Singleton,SF,7.40%,9.25,10,6' 7.75'',6' 9'',8' 7.5'',230.2,7' 1''
Mike Muscala,C-PF,6.80%,8.5,9,6' 10.25'',6' 11.5'',9' 0'',230.2,7' 1''
Branden Dawson,PF,5.80%,9,8.75,6' 5.5'',6' 6.75'',8' 9'',230.2,6' 11''
P.J. Washington,PF,8.60%,9,10.25,6' 6.5'',6' 8'',8' 10.5'',230.4,7' 2.25''
Justin Anderson,SF-SG,5.00%,8.5,9.5,6' 5.25'',6' 6.25'',8' 5'',230.6,6' 11.75''
Georges Niang,PF,10.05%,9.25,9.25,6' 6.75'',6' 8.5'',8' 7'',230.8,6' 10''
Drago Pasalic,PF,12.90%,-,-,6' 9.25'',6' 10.75'',9' 0'',231,6' 11.5''
Taj Gray,PF-SF,6.80%,-,-,6' 7.25'',6' 8.5'',8' 11'',231,7' 0.75''
Alec Brown,PF,7.70%,9.25,8.75,7' 0.25'',7' 1.25'',9' 1'',231.2,7' 1.5''
Frank Kaminsky,C-PF,9.40%,8.5,9.5,6' 11.75'',7' 0.75'',9' 1.5'',231.2,6' 11''
Moritz Wagner,PF,6.70%,8.75,10.75,6' 10'',6' 11.25'',9' 0'',231.2,7' 0''
Juan Mendez,PF-SF,-%,-,-,6' 5.25'',6' 6.75'',8' 10.5'',231.4,7' 0''
Charles Garcia,SF,7.00%,8.75,9,6' 8.25'',6' 9.25'',8' 11.5'',231.6,7' 1.75''
Adonis Thomas,SF,7.50%,9.25,9.5,6' 4.75'',6' 5.75'',8' 3'',231.8,7' 1''
Jerry Holman,PF,6.00%,-,-,6' 8.75'',,9' 1.5'',232,7' 3.25''
Michael Ignerski,PF-SF,10.50%,-,-,6' 9.5'',,8' 11'',232,6' 10.75''
Pops Mensah-Bonsu,PF-C,5.80%,-,-,6' 7.5'',6' 9'',8' 9.5'',232,7' 0''
Herbert Hill,C,5.60%,-,-,6' 7'',6' 9.75'',9' 0.5'',232,7' 2.25''
Grant Jerrett,PF,10.05%,8.5,9.25,6' 8.75'',6' 10.25'',9' 1'',232,7' 2''
Harry Giles,PF,5.20%,9.5,10.75,6' 9.25'',6' 10.5'',9' 1.5'',232,7' 3.25''
Alec Peters,PF,8.80%,8.75,10,6' 7.25'',6' 8.75'',8' 9'',232,6' 10.75''
Zach Collins,PF-C,8.90%,8.75,9.25,6' 10.25'',7' 0'',9' 3'',232.2,7' 1''
Charles Hayes,SF-PF,-%,-,-,6' 5.5'',6' 6.75'',8' 8.5'',232.4,6' 10''
Jordan Hill,PF-C,6.00%,-,-,6' 9.25'',6' 10.25'',9' 0'',232.4,7' 1.5''
Wayne Selden,SG,7.30%,9,9.25,6' 4.25'',6' 5.75'',8' 5'',232.4,6' 10.5''
OG Anunoby,SF,6.80%,9.25,9.5,6' 6.25'',6' 7.75'',8' 11.5'',232.4,7' 2.25''
Arnett Moultrie,PF,7.70%,9.25,9.25,6' 9.5'',6' 10.75'',8' 10.5'',232.8,7' 2.25''
Michael Kidd-Gilchrist,SF,7.00%,9,10.25,6' 5.75'',6' 7.5'',8' 8.5'',232.8,7' 0''
Dewan Hernandez,C,6.10%,9.5,10.25,6' 9'',6' 10.25'',8' 11'',232.8,7' 1.75''
Carmelo Anthony,SF,8.00%,-,-,6' 6.25'',,8' 9.5'',233,7' 0''
Martin Iti,C-PF,10.50%,-,-,6' 8.5'',6' 9.75'',9' 3.5'',233,7' 5''
Pape Sow,PF-C,9.30%,-,-,6' 8.5'',6' 10'',9' 0.5'',233,7' 2''
Tiago Splitter,C-PF,5.30%,-,-,6' 10.25'',6' 11.75'',9' 1.5'',233,7' 2''
Lawrence Roberts,PF,9.30%,-,-,6' 7.5'',6' 9'',8' 10.5'',233,6' 9.5''
Jason Smith,PF,7.50%,-,-,6' 10.75'',6' 11.5'',8' 10'',233,6' 10.75''
Marquese Chriss,PF,8.50%,9,9,6' 8.75'',6' 10'',8' 9'',233,7' 0.25''
Dedric Lawson,PF,8.90%,9.75,9.75,6' 7'',6' 8.5'',8' 11.5'',233,7' 2.25''
Bruno Fernando,C,5.25%,9.5,10,6' 8.75'',6' 9.75'',9' 1'',233.2,7' 4.25''
David Lucas,PF,-%,-,-,6' 6.5'',6' 7.75'',8' 7.5'',233.4,7' 0''
Gani Lawal,PF,6.30%,8.5,10,6' 7.5'',6' 9'',8' 11.5'',233.4,7' 0''
Darius Miller,SF-SG,7.50%,8.5,8.75,6' 6'',6' 7.5'',8' 5'',233.4,6' 9''
